mu,sigma,integral,error
0.987349,1.00722,0.759927,0.0466423
1.00257,1.02832,0.548853,0.0384536
0.980389,1.02817,0.635718,0.0441299
0.997093,1.04797,0.922738,0.0632202
1.00755,1.05075,0.653582,0.0390112
0.988563,1.02602,0.510269,0.0384452
0.988563,1.02602,0.510269,0.0384452
1.01302,1.03356,0.852973,0.0558691
0.990528,1.01594,0.602428,0.0379917
0.986393,1.01426,0.539659,0.0443748
0.989566,1.0024,0.739497,0.0547597
0.994441,1.0268,0.774927,0.0481022
0.994312,1.0078,0.497497,0.0432422
1.01087,0.997934,0.641389,0.0496477
0.990152,0.987227,0.667088,0.0389908
0.996141,0.980666,0.527733,0.0380506
1.00956,0.99453,0.761653,0.0519139
1.00194,0.972882,0.419951,0.0337688
1.0014,0.968616,0.58262,0.0409264
1.01226,0.943713,0.611901,0.039398
1.00075,0.967596,0.47977,0.0402139
0.976696,0.990654,0.508904,0.0394627
0.99912,1.01459,0.549703,0.0369097
1.01697,1.03689,0.703935,0.0410893
1.02655,1.03007,0.75453,0.0464583
1.02857,1.03386,0.746254,0.04623
1.01492,1.05251,0.449659,0.0379717
0.992401,1.04179,0.725604,0.0510573
0.995602,1.05858,0.901425,0.0534404
0.999287,1.05434,0.78107,0.0532625
1.01801,1.06893,1.25165,0.0755166
1.01808,1.0566,0.796246,0.0507631
1.01232,1.05681,0.888717,0.0584109
1.01534,1.05882,0.738708,0.059764
0.992952,1.05396,0.930933,0.0480803
0.975276,1.06125,0.846635,0.0586961
0.988727,1.04645,0.636931,0.0497511
1.00472,1.03493,0.857265,0.0542463
0.99621,1.018,0.57343,0.0352299
1.00242,1.00247,0.73586,0.0437867
1.00871,1.02729,0.682915,0.0408326
1.02226,1.02518,1.00501,0.0594356
1.04229,1.03696,0.95758,0.0462482
1.02943,1.03517,0.562384,0.0390962
1.02594,1.01091,0.695296,0.03973
1.01068,1.01733,0.645911,0.0411097
1.02783,1.01964,0.716161,0.048687
1.04286,1.01205,0.781821,0.0681891
1.03886,1.00593,0.732821,0.0414956
1.05289,1.00982,0.864181,0.0557963
1.07426,1.00939,1.12948,0.0724024
1.08383,1.02539,0.917796,0.0453531
1.06575,1.03734,1.12969,0.0762339
1.07884,1.01262,1.34545,0.0888806
1.0925,0.998811,0.984551,0.0524593
1.08813,0.995393,0.896716,0.0555901
1.0967,0.978314,0.703287,0.0475227
1.09103,0.975533,1.02496,0.0487875
1.08144,0.98107,0.881623,0.0483819
1.06955,0.969081,0.711001,0.0351374
1.07547,0.959818,0.485143,0.0346263
1.06178,0.941426,0.656217,0.0385713
1.03849,0.934212,0.345703,0.0392943
1.06164,0.91179,0.593105,0.0407507
1.04229,0.906937,0.473791,0.0328241
1.06615,0.905292,0.792566,0.0404439
1.08094,0.923037,0.719409,0.0392971
1.08092,0.914862,0.695508,0.0427099
1.09721,0.901772,0.656321,0.0398934
1.0876,0.925915,0.729263,0.0428832
1.10905,0.940143,0.945418,0.0496535
1.10033,0.925742,0.628534,0.0333486
1.12333,0.941224,0.89929,0.0583933
1.12382,0.925797,0.774666,0.0446813
1.12382,0.925797,0.774666,0.0446813
1.10061,0.916096,0.61163,0.0371577
1.11842,0.923102,0.637261,0.0389574
1.14172,0.929603,0.982253,0.0518967
1.11735,0.932979,0.967979,0.0437297
1.13205,0.917186,1.0563,0.0525287
1.12668,0.912141,0.911192,0.0472312
1.14099,0.919458,0.82983,0.0485235
1.12829,0.897472,0.632465,0.0361044
1.12392,0.896994,0.88415,0.0416044
1.11358,0.876368,0.508359,0.0297055
1.09029,0.8588,0.341095,0.029678
1.11444,0.868716,0.577,0.0344675
1.12164,0.8812,0.77288,0.0667222
1.11951,0.870622,0.570128,0.0342451
1.13358,0.85396,0.922492,0.0392942
1.13937,0.86126,0.692769,0.0392399
1.14121,0.871083,0.596849,0.0322322
1.12826,0.855892,0.453163,0.0294975
1.11946,0.866908,0.598081,0.034295
1.14422,0.885437,0.751484,0.0411689
1.15635,0.902822,0.810386,0.039605
1.14392,0.920495,0.871667,0.0401524
1.13176,0.916352,0.930177,0.0428011
1.1344,0.940954,0.789183,0.0355811
1.13071,0.956988,1.15688,0.0524308
1.1424,0.978407,1.39103,0.0601377
1.1281,0.969397,0.938022,0.0547421
1.12766,0.96781,1.06267,0.0649425
1.12568,0.96976,0.938011,0.0462523
1.11841,0.986541,1.26025,0.0586874
1.13355,1.01077,1.32024,0.0557534
1.15454,1.00966,1.29317,0.0606343
1.14747,0.999436,1.22557,0.05622
1.14534,1.00813,1.24051,0.0842706
1.12564,1.02893,1.3739,0.0630048
1.13394,1.01598,1.52017,0.072547
1.15082,1.0355,1.45986,0.0662287
1.14487,1.04267,1.60066,0.0897
1.1599,1.06097,1.83364,0.077904
1.17534,1.07416,1.85934,0.0910345
1.19668,1.06807,1.9736,0.0938954
1.21147,1.08685,2.33462,0.0904454
1.23439,1.11094,2.68647,0.101399
1.20996,1.10244,2.4935,0.120416
1.21273,1.12163,2.48653,0.114173
1.19975,1.10809,1.65228,0.0789432
1.20418,1.10511,2.11635,0.0781515
1.19888,1.08958,2.17535,0.0996394
1.21623,1.08683,2.18944,0.0926554
1.19514,1.06482,1.75548,0.0730718
1.18805,1.0538,1.53183,0.0663299
1.16434,1.05178,1.63244,0.0718057
1.18082,1.06528,1.83142,0.06974
1.16763,1.06474,1.60118,0.0768477
1.15927,1.0447,1.50876,0.062051
1.17829,1.04062,1.35151,0.059806
1.18496,1.03652,1.88855,0.067611
1.19003,1.0449,1.57239,0.0595325
1.19003,1.0449,1.57239,0.0595325
1.17177,1.0292,1.36397,0.0680896
1.18783,1.0248,1.31884,0.0577493
1.18636,1.00711,1.46423,0.0649796
1.2,1.01193,1.43218,0.0601273
1.20305,1.03049,1.58169,0.0694642
1.20099,1.01764,1.72013,0.0802234
1.20097,0.995735,1.55392,0.0620474
1.21991,0.97832,1.18002,0.045736
1.20137,0.959865,1.48094,0.0516763
1.20628,0.940101,1.50807,0.0546899
1.19063,0.940391,1.03991,0.0452486
1.17088,0.934973,1.0193,0.0472253
1.15427,0.946139,0.999631,0.0475194
1.16301,0.967473,1.41944,0.0570346
1.18059,0.967027,1.78496,0.0797895
1.20535,0.973149,1.40905,0.0588687
1.18112,0.951503,1.54753,0.088088
1.15803,0.931932,0.976331,0.0502102
1.16541,0.925559,1.22927,0.0556413
1.18101,0.939008,1.18606,0.0484961
1.16562,0.935622,0.970075,0.0510402
1.16758,0.913173,1.00377,0.0473861
1.16951,0.920424,1.22184,0.0519838
1.17076,0.942681,1.07697,0.0456529
1.14867,0.949512,0.968635,0.0516809
1.14229,0.959427,1.15208,0.0501431
1.16381,0.970444,1.07684,0.0454463
1.14942,0.96303,1.30096,0.0611822
1.15655,0.981166,1.14268,0.0527621
1.16814,1.00136,1.18306,0.0491698
1.16814,1.00136,1.18306,0.0491698
1.17663,0.978586,1.22888,0.0579498
1.1518,0.968961,1.1911,0.0631579
1.14208,0.989289,0.918832,0.0498622
1.14834,0.987808,1.38458,0.0625301
1.1695,1.00135,1.54009,0.078955
1.18567,0.983259,1.60183,0.0592535
1.16999,0.978252,1.59883,0.0697832
1.15694,0.986569,1.76779,0.0843287
1.15319,0.985915,1.15178,0.055355
1.17765,1.0083,1.47147,0.0532583
1.19394,0.999844,1.78158,0.072475
1.2097,1.02105,1.73126,0.0645507
1.19845,1.03121,1.81976,0.0662517
1.18064,1.02298,1.77645,0.0816191
1.18929,1.03829,1.59437,0.0613402
1.18539,1.03023,1.5056,0.0555732
1.1981,1.03119,1.91113,0.0919024
1.19708,1.01144,1.59443,0.076047
1.21892,1.00516,1.87337,0.0654793
1.24146,0.981636,1.57115,0.0675033
1.2167,0.969582,1.45182,0.0568235
1.22658,0.947948,1.85713,0.0681876
1.22114,0.97057,1.75272,0.0626081
1.24232,0.95081,1.68825,0.0587165
1.25307,0.969821,1.69586,0.0537917
1.26299,0.981296,2.10079,0.0799008
1.2677,0.961484,1.74436,0.0643129
1.2677,0.961484,1.74436,0.0643129
1.25682,0.975769,1.98131,0.0669153
1.25203,0.993764,2.03182,0.0890662
1.2578,0.97229,2.00463,0.0657874
1.25549,0.957522,1.62576,0.0656485
1.2801,0.981741,2.14311,0.061861
1.27997,0.989363,2.12397,0.0686573
1.26084,0.991338,2.17185,0.0821739
1.2439,0.971977,1.64209,0.0588656
1.23278,0.973879,1.65473,0.0563952
1.25128,0.950951,1.70956,0.0562164
1.23266,0.960557,1.61968,0.0632489
1.20899,0.97933,1.78167,0.0743673
1.22996,0.972579,2.0105,0.0790061
1.22303,0.981009,1.42056,0.0705862
1.21197,0.987303,1.48705,0.0662026
1.23151,0.9705,1.52623,0.0617288
1.21107,0.96435,1.47993,0.0567235
1.22547,0.968919,1.72305,0.0626781
1.24246,0.950592,1.72402,0.0637681
1.25662,0.927407,1.76305,0.0701318
1.23877,0.946743,1.63842,0.0820624
1.23018,0.947519,1.56204,0.0693046
1.21201,0.941861,1.39597,0.0487462
1.22923,0.917671,1.33419,0.0462157
1.22923,0.917671,1.33419,0.0462157
1.23909,0.896778,1.18218,0.0427731
1.24271,0.921688,1.48574,0.0521663
1.24271,0.921688,1.48574,0.0521663
1.24271,0.921688,1.48574,0.0521663
1.26763,0.919119,1.4309,0.0451494
1.26763,0.919119,1.4309,0.0451494
1.27503,0.932883,1.72722,0.0598126
1.2788,0.954647,1.78034,0.0551332
1.26434,0.952555,2.12244,0.065552
1.26376,0.970278,2.07249,0.0725132
1.27818,0.95669,1.83615,0.0739563
1.26936,0.970484,1.51933,0.0604627
1.27018,0.967525,2.16953,0.0735177
1.26981,0.946083,1.47254,0.0589909
1.28899,0.969082,2.28245,0.0710361
1.27547,0.957712,2.34042,0.0853282
1.27221,0.980266,1.63438,0.0555889
1.27221,0.980266,1.63438,0.0555889
1.2525,0.964007,1.84986,0.0780492
1.24316,0.974803,1.87667,0.0648937
1.23881,0.965196,1.69792,0.0625851
1.23881,0.965196,1.69792,0.0625851
1.23358,0.962106,1.80822,0.0673038
1.25412,0.980429,1.87563,0.0602658
1.24045,1.00138,1.98802,0.0808657
1.2392,1.01451,1.77204,0.0568197
1.21566,1.00534,1.69693,0.0795693
1.23318,1.0192,1.90089,0.0738471
1.23536,1.00771,1.9323,0.070517
1.24424,1.00183,1.4174,0.0554207
1.25894,1.01822,1.85775,0.0590029
1.24329,1.0309,2.25441,0.0871552
1.22716,1.04724,2.2223,0.0849642
1.22718,1.03658,1.75347,0.0793741
1.21685,1.01567,1.85101,0.0790859
1.22863,1.01551,1.67646,0.0691287
1.22863,1.01551,1.67646,0.0691287
1.21562,1.03264,1.71377,0.0656554
1.2067,1.0529,1.93753,0.0748491
1.23155,1.07371,2.52734,0.115645
1.24399,1.09611,2.25717,0.0909359
1.24604,1.07301,2.57361,0.0895993
1.22305,1.06362,1.78086,0.0664426
1.24525,1.04701,2.61921,0.122494
1.25548,1.02915,2.16545,0.0859545
1.27791,1.02932,2.17688,0.0978993
1.28142,1.03288,2.43364,0.09764
1.26161,1.03343,2.18819,0.0789271
1.27962,1.04209,2.35462,0.0702359
1.2686,1.06203,2.48836,0.0849774
1.24897,1.07095,2.34711,0.0826182
1.24897,1.07095,2.34711,0.0826182
1.23114,1.06264,2.22132,0.0858489
1.22698,1.07043,2.03343,0.0785976
1.22698,1.07043,2.03343,0.0785976
1.22697,1.05985,2.31422,0.0969069
1.22147,1.06234,1.7774,0.0670826
1.24053,1.06953,2.27057,0.103171
1.24167,1.0768,2.05942,0.0938521
1.22499,1.0909,2.20574,0.0776775
1.21471,1.09915,2.374,0.107543
1.23409,1.10409,2.70623,0.116374
1.25687,1.09896,2.72919,0.0971224
1.26482,1.11254,2.6022,0.124989
1.26743,1.10526,3.16497,0.117446
1.27227,1.09657,3.33951,0.12728
1.26019,1.10736,1.78468,0.0624415
1.26019,1.10736,1.78468,0.0624415
1.26019,1.10736,1.78468,0.0624415
1.26019,1.10736,1.78468,0.0624415
1.25367,1.12763,2.63775,0.103229
1.25432,1.13225,2.79482,0.107593
1.25432,1.13225,2.79482,0.107593
1.24299,1.13322,2.22523,0.0826318
1.22915,1.1566,3.00621,0.103359
1.25205,1.15531,3.23185,0.115549
1.26256,1.14164,3.44811,0.146299
1.24034,1.1303,2.97694,0.127796
1.24278,1.12308,2.56687,0.0917061
1.23919,1.12438,3.3952,0.126014
1.25263,1.10197,2.43437,0.0920126
1.23456,1.10795,2.41084,0.105217
1.22145,1.11405,2.43297,0.083435
1.1993,1.13031,2.00754,0.0707463
1.1993,1.13031,2.00754,0.0707463
1.1993,1.13031,2.00754,0.0707463
1.17778,1.11814,2.17433,0.140208
1.16911,1.1041,2.33512,0.106203
1.16911,1.1041,2.33512,0.106203
1.1511,1.09183,1.97367,0.0909459
1.14046,1.09418,1.79745,0.0732199
1.12237,1.08749,1.42849,0.0661396
1.12587,1.06963,1.52292,0.0678066
1.1281,1.06666,1.10298,0.0598839
1.13623,1.06374,1.04066,0.054641
1.13623,1.06374,1.04066,0.054641
1.11254,1.04052,1.16973,0.072505
1.11254,1.04052,1.16973,0.072505
1.1244,1.02522,0.99036,0.047648
1.12181,1.01915,1.18367,0.058013
1.12181,1.01915,1.18367,0.058013
1.12324,0.996354,1.15843,0.056561
1.12324,0.996354,1.15843,0.056561
1.11316,0.983838,0.730568,0.0462986
1.11316,0.983838,0.730568,0.0462986
1.11161,0.966482,0.768317,0.0441457
1.10549,0.966813,0.843088,0.0397738
1.11764,0.946878,0.710658,0.0402382
1.115,0.962114,0.981716,0.0501744
1.12671,0.96913,1.12016,0.0474104
1.11904,0.985901,1.38537,0.0685233
1.13987,0.993808,1.08192,0.0690314
1.13327,0.986144,1.09789,0.0450585
1.13327,0.986144,1.09789,0.0450585
1.11649,1.00191,1.04868,0.0675775
1.09614,1.02541,1.30224,0.0675064
1.08611,1.03735,1.24954,0.0743561
1.09653,1.05655,1.0775,0.062805
1.07688,1.04428,1.22515,0.0711395
1.06772,1.0441,1.16326,0.0599449
1.05145,1.04529,0.912729,0.0510498
1.02803,1.02534,0.934131,0.0663022
1.02042,1.03242,0.608606,0.0344153
0.998452,1.04933,0.799848,0.0414715
0.998452,1.04933,0.799848,0.0414715
0.976277,1.04138,0.883721,0.0690692
0.975709,1.03594,0.849837,0.0596271
0.955904,1.0446,0.781284,0.0475308
0.935385,1.04189,0.339045,0.0356763
0.935385,1.04189,0.339045,0.0356763
0.935385,1.04189,0.339045,0.0356763
0.935884,1.06153,0.512924,0.0352386
0.919234,1.06733,0.508707,0.0453525
0.923458,1.06657,0.572897,0.0419306
0.923458,1.06657,0.572897,0.0419306
0.923458,1.06657,0.572897,0.0419306
0.916194,1.05541,0.49429,0.033634
0.931914,1.03841,0.666883,0.0509997
0.944752,1.01644,0.412901,0.0400478
0.931501,1.00175,0.443496,0.0491165
0.924872,0.985742,0.359612,0.0321266
0.903511,0.974315,0.128726,0.0249507
0.903511,0.974315,0.128726,0.0249507
0.886617,0.969682,0.309508,0.0329244
0.880893,0.963697,0.189804,0.0264404
0.895792,0.960617,0.246225,0.0324642
0.900572,0.938545,0.269782,0.0289258
0.925008,0.934826,0.255004,0.042597
0.926685,0.918125,0.196153,0.043618
0.917461,0.94091,0.0755972,0.0246637
0.893731,0.930238,-0.0271508,0.0218215
0.872092,0.906824,-0.00264294,0.0153735
0.876241,0.930299,0.0564688,0.0229853
0.856614,0.919686,0.0135533,0.0239281
0.832437,0.914403,-0.121835,0.0185726
0.822702,0.936887,-0.0134803,0.0181598
0.803913,0.940506,0.0218206,0.0255154
0.812348,0.931358,-0.0757601,0.0198111
0.812348,0.931358,-0.0757601,0.0198111
0.793852,0.934588,-0.0667449,0.0207598
0.776229,0.935922,-0.105694,0.0283032
0.761667,0.933831,-0.119365,0.014659
0.750269,0.957825,-0.160068,0.0128813
0.76352,0.939165,-0.108802,0.0146375
0.762752,0.922161,-0.178651,0.0124045
0.762752,0.922161,-0.178651,0.0124045
0.762752,0.922161,-0.178651,0.0124045
0.740125,0.915239,-0.19292,0.0155714
0.745524,0.936385,-0.0926703,0.0151321
0.729023,0.916944,-0.11621,0.028083
0.727035,0.932405,-0.142525,0.0147301
0.704396,0.931907,-0.118302,0.0164447
0.716471,0.921228,-0.213831,0.0113181
0.725037,0.897215,-0.244026,0.00771855
0.744958,0.908021,-0.177579,0.0151535
0.722084,0.897002,-0.27618,0.00929078
0.729095,0.895112,-0.299177,0.00702617
0.729095,0.895112,-0.299177,0.00702617
0.731852,0.895906,-0.270762,0.00898054
0.719087,0.913098,-0.149282,0.0136499
0.715634,0.910687,-0.204551,0.0143235
0.702783,0.918281,-0.141854,0.0169987
0.720771,0.936833,-0.212401,0.0102533
0.721952,0.94322,-0.140487,0.01582
0.743205,0.934208,-0.115173,0.0176036
0.763566,0.917211,-0.227597,0.0111909
0.763566,0.917211,-0.227597,0.0111909
0.763566,0.917211,-0.227597,0.0111909
0.754155,0.898211,-0.232288,0.0149192
0.763806,0.884361,-0.155504,0.0142794
0.755175,0.908887,-0.165777,0.0137369
0.780042,0.901771,-0.150492,0.0126668
0.769038,0.877783,-0.146097,0.0121142
0.746512,0.865259,-0.269475,0.0102399
0.736025,0.888575,-0.267074,0.0143317
0.755663,0.884473,-0.179799,0.0156765
0.766165,0.873423,-0.200195,0.0125187
0.782349,0.870916,-0.192035,0.0149414
0.802549,0.854293,-0.215977,0.0118119
0.787623,0.863056,-0.206573,0.0129231
0.767545,0.873893,-0.213156,0.0108107
0.766897,0.872725,-0.2499,0.0107399
0.767461,0.868688,-0.17481,0.016598
0.763881,0.849826,-0.27102,0.00834175
0.786118,0.826523,-0.302479,0.00965303
0.786118,0.826523,-0.302479,0.00965303
0.787832,0.816428,-0.286249,0.01103
0.804607,0.811103,-0.294385,0.00896832
0.791797,0.790337,-0.276463,0.0119361
0.772282,0.795996,-0.357195,0.00517325
0.764951,0.773642,-0.344326,0.00566133
0.785186,0.776542,-0.339763,0.00599107
0.805368,0.76658,-0.349056,0.00623563
0.791885,0.769204,-0.320796,0.00795852
0.774466,0.78181,-0.332303,0.00749584
0.755299,0.797081,-0.305764,0.00610932
0.778503,0.803823,-0.286165,0.00707497
0.769803,0.779607,-0.312025,0.00721444
0.753996,0.775883,-0.327797,0.00811038
0.776176,0.768341,-0.350911,0.00572316
0.776176,0.768341,-0.350911,0.00572316
0.789202,0.778153,-0.324333,0.00530958
0.774011,0.785984,-0.331766,0.00931653
0.78279,0.792018,-0.304202,0.00791543
0.764586,0.775875,-0.351317,0.00553863
0.768385,0.773164,-0.331094,0.0062741
0.790298,0.776988,-0.321598,0.00768419
0.779208,0.795033,-0.320239,0.00787479
0.765252,0.810159,-0.273902,0.0084453
0.785529,0.803581,-0.316252,0.0073035
0.795928,0.789783,-0.253234,0.0130027
0.772485,0.794345,-0.339015,0.00748864
0.757003,0.770973,-0.333158,0.0065174
0.750723,0.783411,-0.303739,0.00810965
0.744736,0.793254,-0.318256,0.0066104
0.722451,0.8083,-0.322906,0.00675628
0.7351,0.810612,-0.294121,0.00854673
0.726357,0.798222,-0.33643,0.00543351
0.728573,0.776499,-0.33906,0.0064288
0.705849,0.793665,-0.334709,0.00574995
0.70267,0.788299,-0.315765,0.00675244
0.693545,0.807436,-0.334882,0.00463738
0.681187,0.809121,-0.291584,0.00787593
0.676249,0.806904,-0.315037,0.00507682
0.69125,0.831735,-0.328294,0.00519222
0.68044,0.822751,-0.299784,0.00875348
0.701847,0.816341,-0.315965,0.00624198
0.694879,0.823246,-0.30505,0.00606081
0.678506,0.846612,-0.243541,0.0083694
0.660033,0.865943,-0.333206,0.00509665
0.661906,0.868288,-0.262457,0.00819865
0.667481,0.874538,-0.289714,0.00630804
0.671697,0.889168,-0.287659,0.00645946
0.651597,0.904174,-0.260185,0.006145
0.626919,0.890425,-0.266784,0.00830696
0.644603,0.880488,-0.293406,0.00638089
0.667634,0.892383,-0.173917,0.0136368
0.663633,0.881536,-0.277354,0.00717163
0.671826,0.865885,-0.266254,0.00890772
0.685569,0.853221,-0.234392,0.015876
0.674551,0.870652,-0.213972,0.013043
0.691225,0.850038,-0.253624,0.011348
0.685172,0.831242,-0.309903,0.00569237
0.691411,0.825819,-0.337588,0.00683329
0.703326,0.813284,-0.33293,0.00704777
0.693988,0.794991,-0.33935,0.00541406
0.716652,0.792412,-0.330234,0.00506325
0.724463,0.814341,-0.355721,0.00494078
0.724463,0.814341,-0.355721,0.00494078
0.726939,0.795309,-0.325271,0.00638646
0.73468,0.773348,-0.326787,0.00574297
0.756735,0.789387,-0.287323,0.00922169
0.734472,0.785719,-0.321307,0.00596899
0.740964,0.785678,-0.330318,0.00710684
0.757431,0.764621,-0.378475,0.00382338
0.781768,0.751309,-0.35715,0.0060922
0.781324,0.744265,-0.394054,0.00438941
0.759518,0.73908,-0.356591,0.00571886
0.734606,0.722982,-0.406757,0.00335296
0.755217,0.727662,-0.401624,0.00281055
0.762218,0.722282,-0.386812,0.00357542
0.768361,0.716859,-0.394901,0.00370076
0.763151,0.716154,-0.394598,0.0032609
0.745986,0.698512,-0.380369,0.00403619
0.758624,0.687093,-0.422453,0.00288147
0.775006,0.680173,-0.427228,0.00332862
0.768719,0.663801,-0.421046,0.00223497
0.7666,0.643894,-0.421113,0.00463536
0.779315,0.628279,-0.448333,0.00133823
0.787535,0.62768,-0.443576,0.00126279
0.805384,0.626834,-0.445016,0.00161305
0.805384,0.626834,-0.445016,0.00161305
0.811577,0.638368,-0.443221,0.00248299
0.789198,0.620472,-0.445323,0.00149223
0.796154,0.604066,-0.443512,0.00138858
0.788807,0.603526,-0.443668,0.00160887
0.779371,0.611892,-0.442793,0.00138468
0.780379,0.627698,-0.442526,0.0018585
0.80268,0.630375,-0.448901,0.00154337
0.801946,0.654916,-0.422414,0.00407154
0.782785,0.638104,-0.432491,0.00224631
0.793865,0.652857,-0.438728,0.00171816
