gen,path,length,meanLength
0,0;14;29;22;25;4;3;6;15;12;7;13;2;19;21;5;11;9;20;16;24;31;32;33;8;30;10;27;17;26;28;18;23;1;0,35.5186,42.5704
1,0;14;29;22;25;4;3;6;15;12;7;13;2;19;21;5;11;9;20;16;10;30;26;33;32;31;24;27;17;8;28;18;23;1;0,34.9546,39.1703
2,0;13;29;3;1;7;14;22;21;19;6;2;25;4;15;12;5;11;9;20;16;24;31;32;33;8;30;10;27;17;26;28;18;23;0,29.4482,34.2901
3,0;13;29;3;1;7;14;22;21;19;6;2;25;4;15;12;5;11;9;20;16;24;31;32;33;8;27;10;30;17;26;28;18;23;0,29.307,30.4714
4,0;13;29;3;1;7;21;19;6;2;25;4;15;12;5;11;9;20;14;22;16;24;31;32;33;8;27;10;30;17;26;28;18;23;0,26.9761,28.9915
5,0;13;29;3;14;1;7;22;5;19;6;2;25;4;15;12;21;11;9;20;16;24;31;32;33;8;30;10;27;17;26;28;18;23;0,24.5235,26.3913
6,0;13;29;3;1;7;14;22;21;19;31;24;16;20;9;11;12;6;2;25;15;4;5;32;33;8;30;10;27;17;26;28;18;23;0,23.3975,24.6638
7,0;13;29;3;14;1;7;22;10;30;8;33;32;31;24;16;20;9;11;21;12;15;4;25;2;6;19;5;27;17;26;28;18;23;0,21.842,23.4586
8,0;13;29;3;1;7;14;22;21;19;31;24;16;28;26;17;27;10;30;8;33;32;5;4;15;25;2;6;12;11;9;20;18;23;0,20.0628,22.0207
9,0;13;14;22;1;29;3;5;19;6;2;25;4;15;21;12;11;9;20;16;10;30;26;33;32;31;24;27;17;8;28;23;18;7;0,18.4143,20.3579
10,0;13;14;22;1;29;3;5;19;6;2;25;4;15;21;12;11;9;20;16;10;30;26;33;32;31;8;17;27;24;28;23;18;7;0,16.4996,19.0842
11,0;29;3;14;1;7;22;10;30;8;33;32;31;21;19;24;16;28;26;17;27;5;4;15;25;2;6;12;11;9;20;18;13;23;0,16.3026,17.8897
12,0;14;29;22;3;31;32;25;21;19;24;16;28;26;17;27;10;30;8;33;5;4;15;2;6;12;11;9;18;23;7;13;20;1;0,15.5731,16.3246
13,0;29;3;1;7;14;22;10;30;8;33;32;21;19;31;24;26;27;17;5;4;15;25;2;6;12;11;9;20;18;13;23;16;28;0,12.7735,15.5951
14,0;29;3;1;7;14;22;10;30;8;33;32;21;19;31;24;26;27;17;5;4;15;25;2;6;12;11;9;20;18;13;23;16;28;0,12.7735,14.5413
15,0;29;3;1;7;14;22;10;30;8;33;32;21;19;31;24;26;27;17;5;4;15;25;2;6;12;11;9;18;20;13;23;16;28;0,12.4014,12.9248
16,0;29;3;1;20;18;13;9;11;12;6;2;25;15;4;5;17;27;26;24;31;19;21;32;33;8;30;10;22;14;7;23;16;28;0,11.8867,12.5204
17,0;29;3;1;7;14;22;10;27;17;5;4;15;19;31;24;26;30;8;33;32;21;25;2;6;12;11;9;20;18;13;23;16;28;0,10.7107,11.7485
18,0;29;14;22;3;10;30;8;33;32;31;21;19;24;27;26;17;5;4;15;25;2;6;12;11;9;18;7;13;20;1;23;16;28;0,10.5809,10.8774
19,0;29;14;22;3;10;30;33;32;21;19;31;24;26;27;17;5;4;15;25;6;2;8;12;11;9;18;7;13;20;1;23;16;28;0,9.82406,10.4653
20,0;29;14;22;3;10;27;17;5;4;15;19;31;24;26;30;8;33;32;21;25;2;6;12;11;9;18;7;13;20;1;23;16;28;0,8.09954,9.2184
21,0;14;29;22;3;10;27;17;5;4;15;19;31;24;26;30;8;33;32;21;25;2;6;12;11;9;18;7;13;20;23;16;28;1;0,7.38683,7.91079
22,0;29;14;22;3;10;30;33;19;31;24;26;27;17;5;4;15;8;32;21;25;2;6;12;11;9;18;7;13;20;1;23;16;28;0,7.22879,7.43133
23,0;14;29;22;3;10;30;27;17;33;26;24;31;19;5;4;15;8;32;21;25;2;6;12;11;9;18;7;13;20;1;23;16;28;0,6.61474,7.13994
24,0;14;29;22;3;10;30;27;17;33;26;24;31;19;5;4;15;8;32;21;25;2;6;12;11;9;18;13;7;20;1;23;16;28;0,6.37557,6.70342
25,0;14;29;22;3;10;27;17;31;19;15;5;4;24;26;30;33;8;32;21;25;2;6;12;11;9;18;7;13;20;1;23;16;28;0,6.13861,6.4195
26,0;14;29;22;3;10;30;27;17;33;26;24;31;19;5;4;15;32;8;21;25;2;6;12;11;9;18;7;13;20;1;23;16;28;0,6.09,6.17095
27,0;14;29;22;3;10;30;4;27;26;24;5;15;31;8;19;17;33;32;21;25;2;6;12;11;9;18;7;13;20;1;23;16;28;0,5.52459,5.95213
28,0;14;29;22;3;10;30;4;27;17;33;26;24;31;19;5;15;32;8;21;25;2;6;12;11;9;18;20;13;7;1;23;16;28;0,5.14497,5.62739
29,0;1;14;22;3;10;30;4;27;17;33;26;24;31;19;5;15;32;8;21;25;2;6;12;11;9;18;13;20;7;23;16;28;29;0,4.87614,5.20062
30,0;1;14;22;3;10;30;4;27;26;24;5;15;31;17;19;33;32;8;21;25;2;6;12;11;9;18;13;20;7;23;16;28;29;0,4.34881,4.76307
31,0;14;22;3;10;30;4;27;26;24;5;15;31;17;19;33;32;8;21;25;2;6;12;11;9;18;13;20;7;23;16;28;29;1;0,4.10409,4.45476
32,0;14;22;3;10;30;4;27;26;24;17;33;31;19;5;15;32;8;25;2;21;6;12;11;9;18;13;20;7;23;16;28;29;1;0,4.03806,4.1556
33,0;14;22;3;10;30;4;27;26;24;17;33;31;15;5;19;32;8;21;25;2;6;12;11;9;18;13;20;7;23;16;28;29;1;0,3.90401,4.02008
34,0;14;16;3;10;30;4;27;26;24;5;15;17;31;33;19;32;8;21;25;2;6;12;11;9;18;13;20;7;23;22;28;29;1;0,3.88916,3.91555
35,0;14;22;3;10;30;4;27;26;24;17;33;31;5;15;19;32;8;21;25;2;6;12;11;9;18;13;20;7;23;28;16;29;1;0,3.83108,3.88632
36,0;14;22;3;10;30;4;27;26;24;17;33;31;5;15;19;32;8;21;25;2;6;12;11;9;18;13;20;7;23;28;16;29;1;0,3.83108,3.84942
37,0;14;22;3;10;30;4;27;26;24;17;33;5;15;31;19;32;8;21;25;6;2;12;11;9;18;13;20;7;23;28;16;29;1;0,3.79119,3.82756
38,0;14;7;20;13;18;9;11;12;2;6;25;21;8;32;19;31;15;5;33;17;24;26;27;4;30;10;3;22;23;16;28;29;1;0,3.5871,3.78294
39,0;14;22;3;10;30;4;27;26;24;17;33;31;5;15;19;32;8;2;6;25;21;12;11;9;18;13;20;7;23;28;16;29;1;0,3.56602,3.71236
40,0;14;7;20;13;18;9;11;12;2;6;25;21;8;32;19;31;15;5;33;17;24;26;27;4;30;10;3;16;23;22;28;29;1;0,3.3314,3.5529
41,0;14;7;20;13;18;9;11;12;2;25;21;6;8;32;19;31;15;5;33;17;24;26;27;4;30;10;3;16;23;22;28;29;1;0,3.05166,3.4839
42,0;14;7;20;13;18;9;11;12;2;25;21;6;8;32;19;31;15;5;33;17;24;26;27;4;30;10;3;16;23;22;28;29;1;0,3.05166,3.29958
43,0;14;7;20;13;18;9;11;12;2;25;21;6;8;32;19;31;15;5;33;17;24;26;27;4;30;10;3;16;29;28;22;23;1;0,2.66447,3.0581
44,0;14;7;20;13;18;9;11;12;2;25;21;6;8;32;19;31;15;5;33;17;24;26;27;4;30;10;3;16;29;28;22;23;1;0,2.66447,2.84278
45,0;14;7;20;13;18;9;11;12;2;25;21;6;8;32;19;31;15;5;33;17;24;26;27;4;30;10;3;16;28;29;22;23;1;0,2.59706,2.65529
46,0;7;20;13;18;9;11;12;2;25;21;6;8;32;19;31;15;5;33;17;24;26;27;4;30;10;3;16;29;28;22;23;14;1;0,2.37697,2.58232
47,0;7;20;13;18;9;11;12;2;25;21;6;8;32;19;31;15;5;33;17;24;26;27;4;30;10;3;16;29;28;22;23;1;14;0,2.36818,2.51869
48,0;7;20;13;18;9;11;12;2;25;21;6;8;32;19;31;15;5;33;17;24;26;27;4;30;10;3;16;28;29;22;23;14;1;0,2.30957,2.36901
49,0;7;20;13;18;9;11;12;21;25;2;6;8;32;19;31;15;5;33;17;24;26;27;4;30;10;3;16;29;28;22;23;1;14;0,2.22928,2.27153
50,0;7;20;13;18;9;11;12;21;25;2;6;8;32;19;31;15;5;33;17;24;26;27;4;30;10;3;16;28;29;22;23;1;14;0,2.16187,2.20992
51,0;7;20;13;18;9;11;12;21;25;2;6;8;32;19;31;15;33;5;17;24;26;27;4;30;10;3;16;28;29;22;23;14;1;0,2.15267,2.16067
52,0;7;20;13;18;9;11;12;21;25;2;6;8;32;19;31;15;33;5;17;24;26;27;4;30;10;3;16;28;29;22;23;1;14;0,2.14388,2.14957
53,0;7;20;13;18;9;11;12;21;25;2;6;8;32;19;31;15;33;5;17;24;26;27;4;30;10;3;16;28;29;22;23;1;14;0,2.14388,2.14388
54,0;7;20;13;18;9;11;12;21;25;2;6;8;32;19;31;15;33;5;17;24;26;27;4;30;10;3;16;28;29;22;23;1;14;0,2.14388,2.14388
55,0;7;20;13;18;9;11;12;21;25;2;6;8;32;31;19;15;33;5;17;24;26;27;4;30;10;3;16;28;29;22;23;1;14;0,2.13782,2.14352
56,0;7;20;13;18;9;11;12;21;25;2;6;8;32;31;19;15;33;5;17;24;26;27;4;30;10;3;16;28;29;22;23;1;14;0,2.13782,2.14139
57,0;7;20;13;18;9;11;12;21;25;2;6;8;32;31;19;15;33;5;17;24;26;27;4;30;10;3;16;28;29;22;23;1;14;0,2.13782,2.13782
58,0;7;20;13;18;9;11;12;21;25;2;6;8;32;19;31;15;33;5;17;24;27;26;4;30;10;3;16;28;29;22;23;1;14;0,2.12466,2.13705
59,0;7;20;13;18;9;11;12;21;25;2;6;8;32;31;19;15;33;5;17;24;27;26;4;30;10;3;16;28;29;22;23;1;14;0,2.1186,2.12698
60,0;7;20;13;18;9;11;12;21;25;2;6;8;32;31;19;15;33;5;17;24;27;26;4;30;10;3;16;28;29;22;23;1;14;0,2.1186,2.1186
61,0;7;20;13;18;9;11;12;21;25;2;6;8;32;31;19;33;15;5;17;24;27;26;4;30;10;3;16;28;29;22;23;1;14;0,2.11141,2.11818
62,0;7;20;13;18;9;11;12;21;25;2;6;8;32;31;19;33;15;5;17;24;27;26;4;30;10;3;16;28;29;22;23;1;14;0,2.11141,2.11691
63,0;7;20;13;18;9;11;12;21;25;2;6;8;32;31;19;33;15;5;17;24;27;26;4;30;10;3;16;28;29;22;23;1;14;0,2.11141,2.11141
64,0;7;20;13;18;9;11;12;21;25;2;6;8;32;31;19;33;15;5;17;24;27;26;4;30;10;3;16;28;29;22;23;1;14;0,2.11141,2.11141
65,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;24;27;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10633,2.11111
66,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;24;27;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10633,2.10902
67,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;24;27;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10633,2.10633
68,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;24;27;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10633,2.10633
69,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;24;27;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10633,2.10633
70,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;24;27;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10633,2.10633
71,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;24;27;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10633,2.10633
72,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10601
73,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10443
74,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
75,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
76,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
77,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
78,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
79,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
80,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
81,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
82,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
83,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
84,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
85,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
86,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
87,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
88,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
89,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
90,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
91,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
92,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
93,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
94,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
95,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
96,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
97,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
98,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
99,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
100,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
101,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
102,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
103,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
104,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
105,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
106,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
107,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
108,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
109,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
110,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
111,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
112,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
113,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
114,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
115,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
116,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
117,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
118,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
119,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
120,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
121,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
122,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
123,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
124,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
